"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 02:56:03 UTC 2023","Sun Oct 29 02:56:05 UTC 2023","1908","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Oct 29 02:51:46 UTC 2023","Sun Oct 29 02:51:47 UTC 2023","1996","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 29 02:20:48 UTC 2023","Sun Oct 29 02:20:48 UTC 2023","44","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sun Oct 29 02:39:05 UTC 2023","Sun Oct 29 02:39:09 UTC 2023","4063","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 29 04:16:12 UTC 2023","Sun Oct 29 04:17:22 UTC 2023","69317","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sun Oct 29 03:49:40 UTC 2023","Sun Oct 29 03:49:43 UTC 2023","3292","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Oct 29 02:36:24 UTC 2023","Sun Oct 29 02:36:33 UTC 2023","8981","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Oct 29 02:56:20 UTC 2023","Sun Oct 29 02:56:24 UTC 2023","4096","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Oct 29 03:28:30 UTC 2023","Sun Oct 29 03:28:59 UTC 2023","28800","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Oct 29 02:42:31 UTC 2023","Sun Oct 29 02:42:37 UTC 2023","6855","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Oct 29 02:42:21 UTC 2023","Sun Oct 29 02:42:31 UTC 2023","9951","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Oct 29 03:49:47 UTC 2023","Sun Oct 29 03:49:50 UTC 2023","3515","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Oct 29 04:07:29 UTC 2023","Sun Oct 29 04:07:31 UTC 2023","1412","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sun Oct 29 02:22:47 UTC 2023","Sun Oct 29 02:23:21 UTC 2023","34331","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Oct 29 04:15:19 UTC 2023","Sun Oct 29 04:15:21 UTC 2023","2105","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sun Oct 29 02:55:42 UTC 2023","Sun Oct 29 02:55:47 UTC 2023","4183","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Oct 29 03:29:02 UTC 2023","Sun Oct 29 03:29:04 UTC 2023","1741","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Oct 29 04:03:36 UTC 2023","Sun Oct 29 04:03:54 UTC 2023","17698","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Oct 29 02:30:16 UTC 2023","Sun Oct 29 02:30:49 UTC 2023","32592","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Oct 29 02:43:05 UTC 2023","Sun Oct 29 02:43:13 UTC 2023","7958","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Oct 29 02:37:10 UTC 2023","Sun Oct 29 02:37:19 UTC 2023","8955","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Oct 29 02:45:56 UTC 2023","Sun Oct 29 02:45:57 UTC 2023","1661","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Oct 29 02:46:01 UTC 2023","Sun Oct 29 02:46:06 UTC 2023","4540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Oct 29 04:07:17 UTC 2023","Sun Oct 29 04:07:28 UTC 2023","11158","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Oct 29 03:28:59 UTC 2023","Sun Oct 29 03:29:02 UTC 2023","3420","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Oct 29 03:49:53 UTC 2023","Sun Oct 29 03:49:58 UTC 2023","4851","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Oct 29 02:29:28 UTC 2023","Sun Oct 29 02:30:00 UTC 2023","31564","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 29 04:07:16 UTC 2023","Sun Oct 29 04:07:17 UTC 2023","501","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Oct 29 04:03:54 UTC 2023","Sun Oct 29 04:04:04 UTC 2023","10005","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Oct 29 02:55:21 UTC 2023","Sun Oct 29 02:55:42 UTC 2023","21118","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Oct 29 03:35:25 UTC 2023","Sun Oct 29 03:35:27 UTC 2023","2252","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Oct 29 04:36:57 UTC 2023","Sun Oct 29 04:37:09 UTC 2023","12487","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
